kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZN4yakl1c17parallel_for_syclIZ18semi_discrete_stepNS_5ArrayIKdLi3ELi1ELi1EEERKNS2_IdLi3ELi1ELi1EEES7_diRK10Fixed_dataEUliiiE_Li3ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESU_EUlNSS_7nd_itemILi1EEEE_,1530,1012,1380,1530,1260,1080,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ20compute_tendencies_xNS_5ArrayIKdLi3ELi1ELi1EEERKNS2_IdLi3ELi1ELi1EEEdRK10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESU_EUlNSS_7nd_itemILi1EEEE_,1530,1012,1222,1530,1252,1207,1035,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ20compute_tendencies_xNS_5ArrayIKdLi3ELi1ELi1EEERKNS2_IdLi3ELi1ELi1EEEdRK10Fixed_dataEUliiiE_Li3ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESU_EUlNSS_7nd_itemILi1EEEE_,1530,1012,1380,1530,1245,1222,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ20compute_tendencies_zNS_5ArrayIKdLi3ELi1ELi1EEERKNS2_IdLi3ELi1ELi1EEEdRK10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESU_EUlNSS_7nd_itemILi1EEEE_,1530,1012,1222,1530,1252,1207,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ20compute_tendencies_zNS_5ArrayIKdLi3ELi1ELi1EEERKNS2_IdLi3ELi1ELi1EEEdRK10Fixed_dataEUliiiE_Li3ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESU_EUlNSS_7nd_itemILi1EEEE_,1530,1012,1380,1530,1245,1222,1125,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ17set_halo_values_xRKNS_5ArrayIdLi3ELi1ELi1EEERK10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1380,1530,1260,1095,1042,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ17set_halo_values_xRKNS_5ArrayIdLi3ELi1ELi1EEERK10Fixed_dataEUliiiE_Li3ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1380,1530,1260,1080,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ17set_halo_values_xRKNS_5ArrayIdLi3ELi1ELi1EEERK10Fixed_dataEUliiiE0_Li3ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1380,1530,1260,1080,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ17set_halo_values_xRKNS_5ArrayIdLi3ELi1ELi1EEERK10Fixed_dataEUliiE0_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1222,1530,1252,1095,1020,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ17set_halo_values_zRKNS_5ArrayIdLi3ELi1ELi1EEERK10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1380,1530,1245,1222,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ4initRNS_5ArrayIdLi3ELi1ELi1EEERdR10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESR_EUlNSP_7nd_itemILi1EEEE_,1530,1012,1222,1530,1252,1185,1035,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ4initRNS_5ArrayIdLi3ELi1ELi1EEERdR10Fixed_dataEUliE_Li1ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESR_EUlNSP_7nd_itemILi1EEEE_,1530,1012,1222,1530,1252,1177,1035,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ4initRNS_5ArrayIdLi3ELi1ELi1EEERdR10Fixed_dataEUliE_Li1ELb0ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESR_EUlNSP_7nd_itemILi1EEEE_,1530,1012,1222,1530,1252,1177,1020,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ6outputNS_5ArrayIKdLi3ELi1ELi1EEEdRiRK10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1380,1530,1245,1095,1162,1237,1162,1087
_ZTSZZN4yakl1c17parallel_for_syclIZ10reductionsNS_5ArrayIKdLi3ELi1ELi1EEERdS5_RK10Fixed_dataEUliiE_Li2ELb1ELi128ELb0EEEvRKNS0_6BoundsIXT0_EXT1_EEERKT_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_12LaunchConfigIXT2_EXT3_EEEENKUlRN4sycl3_V17handlerEE_clESS_EUlNSQ_7nd_itemILi1EEEE_,1530,1012,1222,1530,1192,1185,1035,1237,1162,1087